Date,Annual Return (%)
2003-12-31,-36.1405978225658
2004-12-31,336.00919924151486
2005-12-31,28.905685026373096
2006-12-31,44.83446316637316
2007-12-31,-10.869001325400395
2008-12-31,-54.79973228789654
2009-12-31,220.23378862488858
2010-12-31,58.47195394743816
2011-12-31,0.9639565582013399
2012-12-31,9.71900994667605
2013-12-31,75.64321438281239
2014-12-31,19.592853096579365
2015-12-31,-3.250161714606059
2016-12-31,-1.1623695732146166
2017-12-31,16.43750694490209
2018-12-31,42.24949534227645
2019-12-31,17.936910033594632
2020-12-31,34.9678141748637
2021-12-31,32.01419957180151
2022-12-31,-11.683214185119372
2023-12-31,18.23601636509997
2024-12-31,9.754590663038943
2025-12-31,-15.454777427381128
