Date,Annual Return (%)
2001-12-31,-7.766855604741996
2002-12-31,0.7647398457160559
2003-12-31,98.53254091199524
2004-12-31,-4.921102046737513
2005-12-31,70.72205857768981
2006-12-31,131.2306214607833
2007-12-31,129.0205203795424
2008-12-31,-57.01109289958259
2009-12-31,78.08467441958578
2010-12-31,-2.202404122434154
2011-12-31,-33.942910732079014
2012-12-31,22.756619810395563
2013-12-31,7.9147502741923725
2014-12-31,0.5298373840695092
2015-12-31,15.287354636265693
2016-12-31,7.883580147511293
2017-12-31,71.53950039818358
2018-12-31,22.54984156279878
2019-12-31,35.8428563381477
2020-12-31,32.90673707762222
2021-12-31,19.700089176366276
2022-12-31,7.9116847783160305
2023-12-31,10.336448476954917
2024-12-31,-5.640324555936093
2025-12-31,24.957843584079733
