Price,Adj Close,Close,High,Low,Open,Volume
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
Date,,,,,,
2000-01-03,13.297301292419434,17.97291374206543,17.97291374206543,16.958946228027344,16.958946228027344,62409578
2000-01-04,14.361825942993164,19.411745071411133,19.411745071411133,17.94434928894043,18.451332092285156,132872110
2000-01-05,14.924466133117676,20.17222023010254,20.55781364440918,18.326372146606445,18.326372146606445,375789847
2000-01-06,15.550501823425293,21.018381118774414,21.471811294555664,20.63636016845703,20.63636016845703,219621124
2000-01-07,16.617660522460938,22.460784912109375,22.699996948242188,20.92198371887207,21.064796447753906,278281260
2000-01-10,16.298044204711914,22.028778076171875,22.75712013244629,21.80027961730957,22.66429328918457,187897934
2000-01-11,15.241443634033203,20.600656509399414,22.203723907470703,20.268617630004883,21.989505767822266,175675797
2000-01-12,15.938804626464844,21.543216705322266,21.77885627746582,20.147228240966797,20.63636016845703,169586471
2000-01-13,16.475021362304688,22.267988204956055,22.59288787841797,21.71459197998047,21.850263595581055,239139851
2000-01-14,16.710121154785156,22.58574676513672,22.967769622802734,22.10018539428711,22.10018539428711,188507616
2000-01-17,16.31125259399414,22.046630859375,23.057025909423828,21.92523956298828,22.72498893737793,150255809
2000-01-18,16.59917449951172,22.435792922973633,22.774972915649414,21.818130493164062,22.064481735229492,141210936
2000-01-19,16.884456634521484,22.821386337280273,23.199838638305664,22.57860565185547,23.053455352783203,160790093
2000-01-20,16.527849197387695,22.33939552307129,23.199838638305664,22.175161361694336,22.84994888305664,216069957
2000-01-21,17.24105453491211,23.303377151489258,23.44976043701172,22.27869987487793,22.328683853149414,239994540
2000-01-24,17.230487823486328,23.28909683227539,23.69611167907715,22.992761611938477,23.2426815032959,184344232
2000-01-25,16.902944564819336,22.846378326416016,23.22840118408203,22.72498893737793,23.210548400878906,136584272
2000-01-26,16.902944564819336,22.846378326416016,22.846378326416016,22.846378326416016,22.846378326416016,0
2000-01-27,17.695396423339844,23.917470932006836,24.049570083618164,23.04274559020996,23.492603302001953,210269961
2000-01-28,17.875015258789062,24.160249710083008,24.413742065429688,23.678258895874023,23.985305786132812,164331247
2000-01-31,17.336149215698242,23.431907653808594,23.992446899414062,23.317657470703125,23.88176727294922,142723553
2000-02-01,17.64785385131836,23.85320472717285,24.095985412597656,23.42119789123535,23.62113380432129,149956451
2000-02-02,17.970108032226562,24.288780212402344,24.77077293395996,24.174531936645508,24.48514747619629,139355731
2000-02-03,18.049358367919922,24.395889282226562,24.527992248535156,24.021007537841797,24.420883178710938,94831223
2000-02-04,18.181432723999023,24.574405670166016,24.80290412902832,24.39946174621582,24.563695907592773,99528064
2000-02-07,18.152376174926758,24.535131454467773,24.952857971191406,24.13882827758789,24.356616973876953,114747088
2000-02-08,18.08898162841797,24.449445724487305,24.77077293395996,24.353046417236328,24.67080307006836,90057597
2000-02-09,18.51162338256836,25.020694732666016,25.324169158935547,24.620819091796875,24.920724868774414,160165902
2000-02-10,18.79425811767578,25.4027156829834,25.977535247802734,24.627960205078125,24.906444549560547,151143675
2000-02-11,19.193124771118164,25.941831588745117,26.70587730407715,25.709762573242188,25.991817474365234,114214724
2000-02-14,18.60142707824707,25.1420841217041,25.770458221435547,24.992130279541016,25.63478660583496,71806185
2000-02-15,18.19200325012207,24.588687896728516,25.306318283081055,24.424453735351562,25.13494300842285,113776526
2000-02-16,18.39274787902832,24.860029220581055,25.263473510742188,24.49942970275879,24.992130279541016,110304203
2000-02-17,18.73086166381836,25.31702995300293,25.477693557739258,24.813615798950195,24.827896118164062,107425289
2000-02-18,18.461427688598633,24.952857971191406,25.559810638427734,24.849319458007812,25.484832763671875,70451511
2000-02-21,18.26067543029785,24.681514739990234,25.13494300842285,24.395889282226562,24.87788200378418,41234633
2000-02-22,17.6637020111084,23.87462615966797,24.777912139892578,23.742525100708008,24.706506729125977,100723088
2000-02-23,17.423324584960938,23.549728393554688,24.613679885864258,23.371213912963867,24.613679885864258,67665446
2000-02-24,17.790489196777344,24.046001434326172,24.328054428100586,23.51402473449707,23.771087646484375,79319185
2000-02-25,17.359928131103516,23.464040756225586,24.48514747619629,23.285526275634766,24.37803840637207,54786600
2000-02-28,17.59766387939453,23.785367965698242,24.081703186035156,22.135887145996094,23.19626808166504,70386208
2000-02-29,16.42219352722168,22.196582794189453,24.481578826904297,21.882396697998047,24.12811851501465,139625441
